star_rating,title,content_rating,genre,duration,actors_list
9.3,The Shawshank Redemption,R,Crime,142,"'Tim Robbins', 'Morgan Freeman', 'Bob Gnton'"
9.2,The Godfather,R,Crime,175,"'Marlon Brando', 'Al Pacino', 'James Caan'"
9.1,The Godfather: Part II,R,Crime,200,"'Al Pacino', 'Robert De Niro', 'Robert Dvall'"
9.0,The Dark Knight,PG-13,Action,152,"'Christian Bale', 'Heath Ledger', 'Aaron Eckhart'"
8.9,Pulp Fiction,R,Crime,154,"'John Travolta', 'Uma Thrman', 'Samel L. Jackson'"
8.9,12 Angry Men,NOT RATED,Drama,96,"'Henry Fonda', 'Lee J. Cobb', 'Martin Balsam'"
8.9,"The Good, the Bad and the Ugly",NOT RATED,Western,161,"'Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef'"
8.9,The Lord of the Rings: The Return of the King,PG-13,Adventure,201,"'Elijah Wood', 'Viggo Mortensen', 'Ian McKellen'"
8.9,Schindler's List,R,Biography,195,"'Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley'"
8.9,Fight Club,R,Drama,139,"'Brad Pitt', 'Edward Norton', 'Helena Bonham Carter'"
8.8,The Lord of the Rings: The Fellowship of the Ring,PG-13,Adventure,178,"'Elijah Wood', 'Ian McKellen', 'Orlando Bloom'"
8.8,Inception,PG-13,Action,148,"'Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page'"
8.8,Star Wars: Episode V - The Empire Strikes Back,PG,Action,124,"'Mark Hamill', 'Harrison Ford', 'Carrie Fisher'"
8.8,Forrest Gump,PG-13,Drama,142,"'Tom Hanks', 'Robin Wright', 'Gary Sinise'"
8.8,The Lord of the Rings: The Two Towers,PG-13,Adventure,179,"'Elijah Wood', 'Ian McKellen', 'Viggo Mortensen'"
8.7,Interstellar,PG-13,Adventure,169,"'Matthew McConaghey', 'Anne Hathaway', 'Jessica Chastain'"
8.7,One Flew Over the Cuckoo's Nest,R,Drama,133,"'Jack Nicholson', 'Loise Fletcher', 'Michael Berryman'"
8.7,Seven Samurai,UNRATED,Drama,207,"'Toshir\xf4 Mifne', 'Takashi Shimra', 'Keiko Tsshima'"
8.7,Goodfellas,R,Biography,146,"'Robert De Niro', 'Ray Liotta', 'Joe Pesci'"
8.7,Star Wars,PG,Action,121,"'Mark Hamill', 'Harrison Ford', 'Carrie Fisher'"
8.7,The Matrix,R,Action,136,"'Kean Reeves', 'Larence Fishbrne', 'Carrie-Anne Moss'"
8.7,City of God,R,Crime,130,"'Alexandre Rodriges', 'Mathes Nachtergaele', 'Leandro Firmino'"
8.7,It's a Wonderful Life,APPROVED,Drama,130,"'James Stewart', 'Donna Reed', 'Lionel Barrymore'"
