,City,Colors Reported,Shape Reported,State,Time,Location
0,Ithaca,,TRIANGLE,NY,6/1/1930 22:00,"Ithaca , NY"
1,Willingboro,,OTHER,NJ,6/30/1930 20:00,"Willingboro , NJ"
2,Holyoke,,OVAL,CO,2/15/1931 14:00,"Holyoke , CO"
3,Abilene,,DISK,KS,6/1/1931 13:00,"Abilene , KS"
4,New York Worlds Fair,,LIGHT,NY,4/18/1933 19:00,"New York Worlds Fair , NY"
5,Valley City,,DISK,ND,9/15/1934 15:30,"Valley City , ND"
6,Crater Lake,,CIRCLE,CA,6/15/1935 0:00,"Crater Lake , CA"
7,Alma,,DISK,MI,7/15/1936 0:00,"Alma , MI"
8,Eklutna,,CIGAR,AK,10/15/1936 17:00,"Eklutna , AK"
9,Hubbard,,CYLINDER,OR,6/15/1937 0:00,"Hubbard , OR"
10,Fontana,,LIGHT,CA,8/15/1937 21:00,"Fontana , CA"
11,Waterloo,,FIREBALL,AL,6/1/1939 20:00,"Waterloo , AL"
12,Belton,RED,SPHERE,SC,6/30/1939 20:00,"Belton , SC"
13,Keokuk,,OVAL,IA,7/7/1939 2:00,"Keokuk , IA"
14,Ludington,,DISK,MI,6/1/1941 13:00,"Ludington , MI"
15,Forest Home,,CIRCLE,CA,7/2/1941 11:30,"Forest Home , CA"
16,Los Angeles,,,CA,2/25/1942 0:00,"Los Angeles , CA"
17,Hapeville,,,GA,6/1/1942 22:30,"Hapeville , GA"
18,Oneida,,RECTANGLE,TN,7/15/1942 1:00,"Oneida , TN"
19,Bering Sea,RED,OTHER,AK,4/30/1943 23:00,"Bering Sea , AK"
20,Nebraska,,DISK,NE,6/1/1943 15:00,"Nebraska , NE"
21,,,,LA,8/15/1943 0:00,
22,,,LIGHT,LA,8/15/1943 0:00,
23,Owensboro,,RECTANGLE,KY,10/15/1943 11:00,"Owensboro , KY"
24,Wilderness,,DISK,WV,1/1/1944 10:00,"Wilderness , WV"
25,San Diego,,CIGAR,CA,1/1/1944 12:00,"San Diego , CA"
26,Wilderness,,DISK,WV,1/1/1944 12:00,"Wilderness , WV"
27,Clovis,,DISK,NM,4/2/1944 11:00,"Clovis , NM"
28,Los Alamos,,DISK,NM,6/1/1944 12:00,"Los Alamos , NM"
29,Ft. Duschene,,DISK,UT,6/30/1944 10:00,"Ft. Duschene , UT"
